polygon_id,ring_id,is_hole,x_m,y_m
0,0,0,0.066586273552030048,-0.33880337914781522
0,0,0,0.066430000000000003,-0.33885999999999999
0,0,0,0.066505809232819194,-0.33794642790775931
0,0,0,0.065960000000000005,-0.33815000000000001
0,0,0,0.066173841675082223,-0.33513634228002487
0,0,0,0.055320000000000001,-0.33295000000000002
0,0,0,0.037199999999999997,-0.32929999999999998
0,0,0,0.014870000000000005,-0.33323999999999998
0,0,0,-0.0075399999999999998,-0.33689000000000002
0,0,0,-0.030039999999999997,-0.34026000000000001
0,0,0,-0.042750000000000003,-0.33894999999999997
0,0,0,-0.055469999999999978,-0.33765000000000001
0,0,0,-0.068179999999999991,-0.33633999999999997
0,0,0,-0.091619999999999993,-0.33391999999999999
0,0,0,-0.11513,-0.33122000000000001
0,0,0,-0.13869000000000001,-0.32823999999999998
0,0,0,-0.15928999999999999,-0.32800000000000001
0,0,0,-0.17993000000000001,-0.32752999999999999
0,0,0,-0.2006,-0.32682
0,0,0,-0.22670999999999999,-0.32200000000000001
0,0,0,-0.25283,-0.31702999999999998
0,0,0,-0.27711000000000002,-0.31246000000000002
0,0,0,-0.30138999999999999,-0.30758000000000002
0,0,0,-0.32568000000000003,-0.30238999999999999
0,0,0,-0.34940999999999989,-0.29478000000000004
0,0,0,-0.37314000000000003,-0.28692000000000001
0,0,0,-0.39684999999999998,-0.27882000000000001
0,0,0,-0.41725999999999996,-0.26957999999999999
0,0,0,-0.43766999999999995,-0.26028000000000007
0,0,0,-0.45807999999999999,-0.25091999999999998
0,0,0,-0.48522999999999999,-0.23913999999999999
0,0,0,-0.51232,-0.22703000000000001
0,0,0,-0.53159000000000001,-0.21825
0,0,0,-0.55081000000000002,-0.20924000000000001
0,0,0,-0.56996999999999987,-0.20000000000000004
0,0,0,-0.58967999999999998,-0.18804000000000001
0,0,0,-0.60933000000000004,-0.1759
0,0,0,-0.62892000000000003,-0.16356000000000001
0,0,0,-0.64803999999999995,-0.15021999999999999
0,0,0,-0.66708000000000001,-0.13671
0,0,0,-0.68606,-0.12300999999999999
0,0,0,-0.70555000000000001,-0.10772
0,0,0,-0.72492999999999996,-0.092170000000000002
0,0,0,-0.74417999999999995,-0.076369999999999993
0,0,0,-0.75697999999999999,-0.062
0,0,0,-0.76976999999999995,-0.047600000000000003
0,0,0,-0.7825399999999999,-0.033180000000000091
0,0,0,-0.80169000000000001,-0.015320000000000025
0,0,0,-0.82069000000000003,0.0027899999999999999
0,0,0,-0.83828000000000003,0.021409999999999998
0,0,0,-0.85573999999999995,0.040230000000000002
0,0,0,-0.87307000000000001,0.059220000000000002
0,0,0,-0.8881,0.077289999999999998
0,0,0,-0.90293000000000001,0.095600000000000004
0,0,0,-0.91756000000000004,0.11416
0,0,0,-0.92954999999999999,0.13506000000000001
0,0,0,-0.94147999999999998,0.15603
0,0,0,-0.95335999999999999,0.17707000000000001
0,0,0,-0.96472000000000002,0.19868
0,0,0,-0.97604000000000002,0.22034999999999999
0,0,0,-0.98731000000000002,0.24207000000000001
0,0,0,-0.99851999999999996,0.26384000000000002
0,0,0,-1.00671,0.28292
0,0,0,-1.0148600000000001,0.30203999999999998
0,0,0,-1.02298,0.32118999999999998
0,0,0,-1.03105,0.34039000000000003
0,0,0,-1.03908,0.35960999999999999
0,0,0,-1.0472300000000001,0.38084000000000001
0,0,0,-1.0553300000000001,0.40211999999999998
0,0,0,-1.06338,0.42342999999999997
0,0,0,-1.0713900000000001,0.44477
0,0,0,-1.07934,0.46616000000000002
0,0,0,-1.0854200000000001,0.48723
0,0,0,-1.09144,0.50834000000000001
0,0,0,-1.09741,0.52949000000000002
0,0,0,-1.1033299999999999,0.55066999999999999
0,0,0,-1.1092,0.57189000000000001
0,0,0,-1.1134500000000001,0.59218000000000004
0,0,0,-1.1176999999999999,0.61248000000000002
0,0,0,-1.1219300000000001,0.63278999999999996
0,0,0,-1.12615,0.65310000000000001
0,0,0,-1.13035,0.67342999999999997
0,0,0,-1.1345499999999999,0.69376000000000004
0,0,0,-1.13873,0.71409
0,0,0,-1.1429,0.73443999999999998
0,0,0,-1.1453800000000001,0.75483
0,0,0,-1.1478699999999999,0.77522000000000002
0,0,0,-1.15035,0.79561999999999999
0,0,0,-1.15282,0.81601999999999997
0,0,0,-1.1552899999999999,0.83642000000000005
0,0,0,-1.1577500000000001,0.85682999999999998
0,0,0,-1.16021,0.87724000000000002
0,0,0,-1.1626700000000001,0.89764999999999995
0,0,0,-1.1651100000000001,0.91805999999999999
0,0,0,-1.1675500000000001,0.93847999999999998
0,0,0,-1.1699900000000001,0.95889999999999997
0,0,0,-1.1717200000000001,0.97933999999999999
0,0,0,-1.17344,0.99978999999999996
0,0,0,-1.17516,1.02023
0,0,0,-1.1768799999999999,1.04068
0,0,0,-1.17859,1.0611200000000001
0,0,0,-1.1802999999999999,1.0815699999999999
0,0,0,-1.18201,1.10202
0,0,0,-1.1837200000000001,1.1224700000000001
0,0,0,-1.1854199999999999,1.1429199999999999
0,0,0,-1.18712,1.1633800000000001
0,0,0,-1.18882,1.1838299999999999
0,0,0,-1.1897200000000001,1.20442
0,0,0,-1.19062,1.2250099999999999
0,0,0,-1.1915199999999999,1.2456
0,0,0,-1.19242,1.2661899999999999
0,0,0,-1.1933199999999999,1.28678
0,0,0,-1.19421,1.3073699999999999
0,0,0,-1.1951099999999999,1.32796
0,0,0,-1.196,1.34856
0,0,0,-1.19689,1.3691500000000001
0,0,0,-1.1977899999999999,1.38974
0,0,0,-1.19868,1.4103399999999999
0,0,0,-1.19889,1.4285099999999999
0,0,0,-1.1991000000000001,1.44668
0,0,0,-1.1993100000000001,1.46485
0,0,0,-1.1995199999999999,1.48302
0,0,0,-1.1997199999999999,1.50119
0,0,0,-1.1999299999999999,1.51936
0,0,0,-1.20014,1.5375300000000001
0,0,0,-1.20034,1.5557099999999999
0,0,0,-1.20055,1.5738799999999999
0,0,0,-1.20076,1.59205
0,0,0,-1.20096,1.6102300000000001
0,0,0,-1.2020299999999999,1.62927
0,0,0,-1.20309,1.64832
0,0,0,-1.2041599999999999,1.66736
0,0,0,-1.20523,1.68641
0,0,0,-1.2062900000000001,1.70546
0,0,0,-1.20736,1.7244999999999999
0,0,0,-1.20842,1.7435499999999999
0,0,0,-1.20949,1.7625999999999999
0,0,0,-1.21055,1.7816399999999999
0,0,0,-1.2116199999999999,1.8006899999999999
0,0,0,-1.21269,1.8197300000000001
0,0,0,-1.21367,1.8394900000000001
0,0,0,-1.21465,1.8592500000000001
0,0,0,-1.21563,1.8790100000000001
0,0,0,-1.21661,1.8987700000000001
0,0,0,-1.2175800000000001,1.9185399999999999
0,0,0,-1.2185600000000001,1.9382999999999999
0,0,0,-1.2195199999999999,1.95807
0,0,0,-1.2204900000000001,1.97783
0,0,0,-1.2214499999999999,1.9976
0,0,0,-1.2224200000000001,2.0173700000000001
0,0,0,-1.2233700000000001,2.03714
0,0,0,-1.22342,2.0557300000000001
0,0,0,-1.22346,2.0743200000000002
0,0,0,-1.2235,2.0929199999999999
0,0,0,-1.2235499999999999,2.11151
0,0,0,-1.22359,2.1301000000000001
0,0,0,-1.22363,2.1486900000000002
0,0,0,-1.22367,2.1672899999999999
0,0,0,-1.2237100000000001,2.18588
0,0,0,-1.22376,2.2044700000000002
0,0,0,-1.2238,2.2230599999999998
0,0,0,-1.22384,2.2416499999999999
0,0,0,-1.2240200000000001,2.2601599999999999
0,0,0,-1.2241899999999999,2.2786599999999999
0,0,0,-1.2243599999999999,2.2971599999999999
0,0,0,-1.22454,2.3156599999999998
