s_m,x_m,y_m,heading_rad,curvature_per_m,speed_m_per_s
0,0.0016889672245507992,0.0016089301433120015,0.40278308326145934,3.6896981010334584,0.78103018989665429
0.0001100503870260052,0.001795164607426424,0.0015800648777677269,0.40278308326145934,3.6896981010334584,0.78103018989665429
0.0058481404929915104,0.0069682730815764831,-0.00090280176763553961,0.40278308326145934,3.6896981010334584,0.78103018989665429
0.0092918338636201001,0.0082192770962100543,0.0023056266617176818,0.40278308326145934,3.6896981010334584,0.78103018989665429
0.015414647342583104,0.013573194607948315,-0.00066496455480360647,0.40278308326145934,3.6896981010334584,0.78103018989665429
0.022983698323316246,0.02083319801768042,0.0014758024198144942,0.40278308326145934,3.6896981010334584,0.78103018989665429
0.030251717214436393,0.027870425267006303,0.0032928140441649259,0.40278308326145934,3.6896981010334584,0.78103018989665429
0.038388930258278206,0.035956449425292185,0.0023815240615104312,0.40348516824804154,3.8385614617332888,0.76614385382667116
0.04605034862556473,0.042694985348928557,0.0060269959108678545,0.42388433690193716,3.663277666067053,0.78367223339329484
0.055492177583597271,0.051733821417152083,0.0087560207558488104,0.5066973348038557,4.0846032552843594,0.7415396744715641
0.065479944587392286,0.059424612063047853,0.015128400920520282,0.56409098174910133,4.3089071306977269,0.71910928693022735
0.079390244039758931,0.07047286125333313,0.02358018302158468,0.63910520245872304,4.7285384351698889,0.67714615648301113
0.092064380720151134,0.079731813831460954,0.03223498156050187,0.70250275476514179,4.1379614683916177,0.73620385316083836
0.10567907063813019,0.091111105499068007,0.039709705816703501,0.76142454619145528,3.9419008167910459,0.7558099183208955
0.11925570842845287,0.10167701120188802,0.048235357133097678,0.78425480894691169,3.6850570893463637,0.78149429106536372
0.13699426363907899,0.11435403209193898,0.060642995196550468,0.84992345509941247,3.3809653631919105,0.81190346368080901
0.15607544691685432,0.12550169918818602,0.076129152679648204,0.92009684786454515,3.4574176382225645,0.80425823617774361
0.17638053235979348,0.13865038658446721,0.091601984178760962,0.9981465716821748,2.9606350434564246,0.85393649565435759
0.19768349232121568,0.14849228184772373,0.11049518932624842,1.0695042262407706,2.7598147531661303,0.87401852468338703
0.22177941964403375,0.16078046219226502,0.13122232944172404,1.1365053597517576,2.4542657599769009,0.90457342400231
0.24488488044691584,0.16908162128217386,0.1527851000586356,1.1672128839835214,2.2632575883363848,0.92367424116636165
0.27267038942918237,0.17905704539674647,0.17871819519087959,1.2394813124109836,2.3352013624461776,0.91647986375538237
0.30223921644542795,0.18944660050763332,0.20640163203883072,1.3062445665119495,2.3952299309980356,0.91047700690019651
0.33046736856570147,0.19608016175934945,0.23383927838914717,1.3687199812126769,2.3569704840309589,0.91430295159690422
0.36288491694310887,0.19976436833618827,0.26604679404466969,1.4642447038326838,2.2949235357959239,0.92050764642040772
0.39490979467849496,0.20346534430636184,0.29785710009215416,1.5243201041775511,1.4155160512660923,1.0084483948733909
0.42790486373765385,0.20275660482025659,0.33084455635297394,1.5918663238862418,0.67223810359316372,1.0827761896406838
0.48120982110862337,0.20307100484940668,0.38414858652839828,1.6314851980653047,0.90030699316817986,1.0599693006831821
0.53812915757943747,0.19608519596691751,0.4406376061564205,1.6204307348698097,0.51084524845508572,1.0989154751544916
0.59957829061877799,0.19721291671117169,0.50207639030136875,1.7461083132760484,0.24485547538109834,1.1000000000000001
0.80615685533435255,0.14959650449101464,0.70309226203100827,1.7966902059430254,0.1311081455670339,1.1000000000000001
1.012751600401758,0.10467341732837079,0.9047437061846364,1.7696039520333438,0.14113074394324573,1.1000000000000001
1.2260086892591826,0.066692218791937291,1.114591304468914,1.7395068204317246,0.25546226857430476,1.1000000000000001
1.427494997552081,0.035037262394847814,1.3135754650571358,1.688034671028559,0.2610786486110227,1.1000000000000001
1.6398528674587385,0.01832258596671223,1.5252745073393237,1.6325925653314135,0.077563242699760421,1.1000000000000001
1.8606425449935442,0.0082911216439180042,1.7458361799605295,1.6154674019871795,0.039959159958733143,1.1000000000000001
2.089673663177241,-0.0017647044732980852,1.9746464364124088,1.6063155109001497,0.15873053786696828,1.1000000000000001
2.2928300343513377,-0.0070559871822272382,2.1777338891905691,1.5740683908325839,0.077854680820435049,1.1000000000000001
2.4958123291174585,-0.0030932688534816098,2.3806774992204671,1.5582652690613681,0.050765847759532516,1.1000000000000001
2.7007303750236447,-0.0019448220182260109,2.5855923269120629,1.5686681073830224,0.13567154427564407,1.1000000000000001
2.9051829423635844,-0.0022220443014268074,2.7900447063056477,1.5964065029251522,0.083188321390382527,1.1000000000000001
3.1217180250569596,-0.0127222175721277,3.0063250530741699,1.6144196929765418,0.058898993480579628,1.1000000000000001
3.3343676354343357,-0.020938360124582635,3.2188158806296379,1.6018948449612769,0.040382867311450084,1.1000000000000001
3.5475219845266786,-0.025961579171564542,3.4319110326331184,1.6105026287575315,0.020420528403111201,1.1000000000000001
3.7721517000687652,-0.038314431867040394,3.6562008365360215,1.6150896862439414,0.026549401268371259,1.1000000000000001
4.0041847023350954,-0.046180965659239251,3.8881004522899567,1.6089293489592678,0.11244930556818071,1.1000000000000001
4.2201462219646295,-0.055393513270458855,4.1038653867144568,1.6332140718710579,0.086935553458862488,1.1000000000000001
4.4228943643800092,-0.072293488018500135,4.3059079567495919,1.6508400938446952,0.034481095420164615,1.1000000000000001
4.6452317168600015,-0.08938245575987859,4.5275876028367925,1.6585065293110246,0.20127888638176997,1.1000000000000001
4.862348690052432,-0.11078642592194995,4.7436469699319126,1.7022075918897777,0.31721586003311142,1.1000000000000001
5.0172395652779338,-0.13809143495632234,4.8961121125375415,1.7513414340857165,0.26774389512459329,1.1000000000000001
5.1417958228383061,-0.16096524034269014,5.0185500573283308,1.7846906116470727,0.58440464678965853,1.0915595353210343
5.2403980278708158,-0.18543510485854992,5.1140677026502743,1.8423141984517781,0.83285927719841946,1.0667140722801582
5.3290468024076336,-0.21117282983491817,5.198897972836809,1.935978886582244,0.93071087578506195,1.0569289124214938
5.398266015861398,-0.24163290819082364,5.2610548963265531,1.9975442040293447,1.0483930061745366,1.0451606993825464
5.4415699232330663,-0.25771644673029698,5.3012612164976813,2.029074280087209,1.7904071131078574,0.97095928868921433
5.4990703006844788,-0.28612773384201645,5.3512521373904827,2.1139898109650019,1.7217069215057363,0.97782930784942645
5.5360120030163884,-0.30650450098946713,5.3820657177049798,2.2433713545859577,1.9716182314114461,0.95283817685885541
5.594475843086693,-0.34541934299320926,5.4256966203725838,2.2911810052901487,1.9659696370425477,0.9534030362957453
5.6313585982388279,-0.36939900929985214,5.4537200611219703,2.3743164520611781,2.5829048958700236,0.89170951041299773
5.6629053923514814,-0.39405424610388329,5.4734004959983471,2.4921034182875479,2.3317345399572189,0.91682654600427815
5.6980242730107538,-0.42252748886161201,5.4939579818762381,2.5571735581317467,2.0904542506176629,0.94095457493823376
5.735968930130527,-0.45678733128442239,5.5102693337853035,2.6170245829383929,1.7354406793205943,0.97645593206794068
5.7520157276183079,-0.4695632042564446,5.5199789568169457,2.673221334918888,1.5383608703563321,0.9961639129643669
5.7833835356470793,-0.49787804277986697,5.5334774493224952,2.6904391920180641,1.1733534463055342,1.0326646553694467
5.8120142792767036,-0.5239643466784758,5.5452767810702968,2.7497613368261029,1.8735073429351825,0.96264926570648179
5.8439924245845942,-0.55363966423148625,5.557192204078337,2.7811040022619573,2.2675229937766352,0.92324770062233652
5.8729492505374878,-0.58119123664580519,5.5661033558986537,2.8811308216096991,3.0053881243747322,0.84946118756252686
5.9022988982415781,-0.60903634166801712,5.5753797747473364,2.9543848350684265,3.1929706075477893,0.83070293924522121
5.935602172081766,-0.6423085705205468,5.5768174240993886,3.0540376625479633,3.1321082210092559,0.83678917789907448
5.9616767407156122,-0.66829890338077835,5.578911636900302,-3.1117347379182787,3.0407339519163346,0.84592660480836668
5.9909378481758031,-0.69744394106196839,5.5763079494461589,-3.0388795145746905,3.126329801776266,0.83736701982237349
6.016718346274506,-0.72285860735886309,5.5719802688624416,-2.9579553136490442,2.7576794337409902,0.87423205662590109
6.0458580710610361,-0.75128773257111447,5.5655843013593325,-2.8952275341302887,2.8125681743513398,0.86874318256486616
6.0702146437648716,-0.7747751699323997,5.5591358193614555,-2.811340373961813,2.9766839686093158,0.85233160313906853
6.1000356416482449,-0.80307850766882571,5.5497436424179583,-2.7314517075529627,2.9941830904148663,0.85058169095851344
6.1276277064277194,-0.82713650563196539,5.5362330993940718,-2.65709314682814,3.1166887536365477,0.83833112463634529
6.1526946326771004,-0.8485945785164386,5.5232754028519953,-2.5565806511601434,3.038565653306041,0.8461434346693959
6.1793940799687395,-0.87087055099268795,5.5085566550820122,-2.4985440046582132,3.4962262852347257,0.80037737147652743
6.1983439405227641,-0.88474613906692234,5.4956506382444621,-2.4155824766876388,3.3277350519312892,0.81722649480687115
6.2214481604687109,-0.9019215590865336,5.4801971620510415,-2.3642166696681541,3.5873325279493136,0.79126674720506873
6.244051078291748,-0.91653910512022441,5.4629571144273283,-2.2529470093760815,2.9770886317509428,0.85229113682490576
6.2645891956603315,-0.93053187705212637,5.4479232659942927,-2.1861443145232942,3.1424886559986249,0.8357511344001376
6.2843100041987103,-0.94168946112174079,5.4316623125432528,-2.1235337617318173,2.3210484972950902,0.91789515027049107
6.3152648460695895,-0.95573227240117442,5.4040760535250145,-2.0706390515864226,2.2586497166487711,0.92413502833512295
6.3361559438343154,-0.96454579398822204,5.385135097819191,-2.0064889389362093,2.4696232530977924,0.90303767469022089
6.36687400484678,-0.97947963953705064,5.3582914853668919,-1.9694710100374113,2.3099990527681475,0.91900009472318533
6.3855756417995098,-0.9842623583143264,5.3402117501418065,-1.9142725399093234,2.3936460510368938,0.91063539489631073
6.4153062248075647,-0.99440596821057603,5.312265109122329,-1.8012056123294735,2.657947415771702,0.88420525842282993
6.44565877901357,-1.0011890854416805,5.2826801996673787,-1.7711997702899585,2.2915468599062514,0.92084531400937497
6.4762911584010796,-1.004363083635343,5.2522127021920859,-1.6743514239050938,2.3319110752706309,0.91680889247293695
6.5057993922143265,-1.0080837836679188,5.2229399801791807,-1.5941270885471794,1.7480957617418305,0.975190423825817
6.5466999754265363,-1.007939890607616,5.1820396500841062,-1.5359875674380719,0.64293533527086399,1.0857064664729137
6.6004735815335218,-1.0047901847464562,5.128358367808648,-1.4578408995831367,0.16868556175607274,1.1000000000000001
6.7599192991137969,-0.98391875859889677,4.9702845862215179,-1.4309447091435079,0.089419002990764579,1.1000000000000001
6.9631077243855968,-0.9542418279454562,4.7692750940291724,-1.4491136155505757,0.15274711626983498,1.1000000000000001
7.1655410649802738,-0.93469863158467603,4.5677873255162318,-1.4800347245632819,0.032381353116173794,1.1000000000000001
7.3873323219856006,-0.91579198202675005,4.3468033888002413,-1.4872166255744514,0.15411443850455342,1.1000000000000001
7.6095159432667945,-0.89763458929069051,4.125362943861532,-1.521458329613111,0.13265965096884935,1.1000000000000001
7.8227178255920977,-0.89433144646111717,3.9121866509148262,-1.5497416169082874,0.062748697962919681,1.1000000000000001
8.0412174543415542,-0.88854604788295088,3.6937636280281754,-1.5634521841176972,0.036445620904998942,1.1000000000000001
8.2562196706446329,-0.89114836810239606,3.4787771611408118,-1.5712880733868138,0.10247688114643971,1.1000000000000001
8.4763518354514584,-0.88876000963294222,3.2586579531503213,-1.5487296156973962,0.046085919972348892,1.1000000000000001
8.6767449375730354,-0.88187015282573766,3.0583833285692599,-1.5394943152300105,0.013719189528263509,1.1000000000000001
8.893789143650821,-0.875695573348648,2.8414269689938432,-1.5424719858292031,0.022527139678310132,1.1000000000000001
